Cruise ,Station,Species,Date_collection,FID,Standard_length_mm,Fork_length_mm,Total_length_mm,Total_weight_g,Sex,Liver_weight_g,Gonad_weight_g,Evisc_weight_g,Stomach_weight_g,Stomach_content_weight_g,Musc_taken,Comments
201804,181,P_tri,180928,2,150,164,188,108.62,F,0.825,0.963,99.74,0.437,0.433,Y,NA
201804,195,P_tri,180929,1,135,149,170,84.408,M,0.866,0.425,75.812,0.428,NA,Y,NA
201804,195,P_tri,180929,2,138,156,176,100,M,1.58,3.06,85.06,0.64,0.35,Y,NA
201804,215,C_har,181001,1,227,252,275,189.49,M,0.93,36.27,135.45,2.04,2.042,Y,"empty gut, put whole thing in jar"
201804,215,C_har,181001,2,234,258,292,232.66,F,0.47,63.2,161.68,1.5,1.3,Y,NA
201804,215,C_har,181001,3,215,242,267,202.9,M,0.42,45.51,153.59,1.32,1.14,Y,NA
201804,187,P_tri,180928,1,127,145,166,78.1,M,1.29,0.4,69.63,0.41,0.15,Y,NA
201804,187,P_tri,180928,2,135,155,162,97.22,M,1.36,0.56,87.85,0.65,0.36,Y,NA
201804,215,P_tri,181001,1,135,159,183,86.58,F,1.2,0.86,79.57,0.49,0.47,Y,NA
201804,197,P_tri,180929,1,145,165,195,117.04,F,1.02,0.33,105.19,0.77,0.42,Y,NA
201804,188,P_tri,180928,1,135,154,175,84.88,F,1.51,0.61,75.67,0.58,0.44,Y,NA
201804,188,P_tri,180928,2,133,144,162,87.34,F,1.43,1.05,77.16,1.08,0.66,Y,NA
201804,193,P_tri,180929,1,140,160,187,98.74,F,2.16,5.55,80.75,0.23,0.11,Y,NA
201804,193,P_tri,180929,2,143,159,181,93.71,M,1.46,0.85,84.13,0.35,0.21,Y,NA
201804,245,A_pse,181012,1,220,252,285,237.19,F,3.35,2.64,211,4.62,2.36,Y,NA
201804,245,A_pse,181012,2,201,221,240,168.65,F,2.2,0.8,149.88,3.92,3.03,Y,NA
201804,245,A_pse,181012,3,205,233,260,170.21,F,3.93,0.77,150.89,3.37,2.15,Y,NA
201804,194,P_tri,180929,1,133,150,171,88.7,M,0.87,0.34,77.53,1.11,0.42,Y,NA
201804,194,P_tri,180929,2,140,159,184,102.97,F,1.37,1.25,91.44,0.89,0.72,Y,NA
201804,209,P_tri,181001,1,135,154,173,83.39,F,1.25,0.15,75.71,0.38,0.27,Y,NA
201804,191,P_tri,180929,1,145,162,183,94.51,M,1.11,1.67,85.02,0.92,0.65,Y,NA
201804,163,P_tri,180920,2,132,152,175,78,M,0.74,0.85,70.36,0.35,0.1,Y,*
201804,112,P_tri,180915,1,89,104,119,23.62,M,0.41,0.02,20.55,0.17,0.13,Y,NA
201804,106,A_dub,180915,1,138,147,150,10.23,F,0.14,0.13,9.15,0.15,0.09,Y,NA
201804,163,A_pse,180920,1,155,173,193,67.01,F,0.56,0.53,61.34,1.25,0.83,Y,NA
201804,163,A_pse,180920,2,154,172,194,72.53,F,0.79,0.46,64.79,1.59,0.87,Y,NA
201804,178,P_tri,180927,1,62,70,77,6.59,U,0.08,NA,5.59,0.11,0.03,Y,NA
201804,178,P_tri,180927,2,57,66,76,5.55,U,0.07,NA,4.47,0.06,0.04,Y,NA
201804,118,P_tri,180916,1,97,110,130,34,U,0.61,NA,29.42,0.26,0.12,Y,NA
201804,118,P_tri,180916,2,90,104,121,24.48,F,0.44,0.05,20.8,0.31,0.16,Y,NA
201804,169,A_aes,180926,1,143,158,168,46.46,F,0.23,0.23,40.6,1.12,0.51,Y,NA
201804,161,P_tri,180920,1,97,112,130,30.06,U,0.38,NA,26.99,0.42,0.19,Y,NA
201804,161,P_tri,180920,2,98,114,130,29.34,M,0.39,0.03,25.89,0.24,0.14,Y,NA
201804,111,P_tri,180915,1,88,100,117,21.98,F,0.39,0.01,19.42,0.18,0.12,Y,NA
201804,111,P_tri,180915,2,85,100,115,20.67,U,0.43,NA,17.45,0.26,0.12,Y,NA
201804,160,P_tri,180920,1,93,107,123,25.91,F,0.39,0.04,23.27,0.24,0.1,Y,NA
201804,160,P_tri,180920,2,88,103,120,24.15,U,0.3,NA,20.5,0.26,0.13,Y,NA
201804,105,P_tri,180915,1,105,120,136,39.94,M,0.63,0.18,35.36,0.53,0.19,Y,NA
201804,105,P_tri,180915,2,93,107,122,27.33,U,0.51,NA,24.24,0.45,0.26,Y,NA
201804,120,P_tri,180916,1,108,125,143,48.43,M,1,0.11,43.42,0.35,0.18,Y,NA
201804,120,P_tri,180916,2,107,123,134,44.85,M,0.87,0.09,39.96,0.92,0.31,Y,NA
201804,105,A_dub,180915,1,148,159,161,11.95,F,0.12,0.31,10.37,0.07,0.04,Y,NA
201804,105,A_dub,180915,2,143,153,156,10.9,F,0.22,0.08,9.22,0.23,0.12,Y,NA
201804,105,A_dub,180915,3,148,154,161,13.82,M,0.15,0.5,11.4,0.16,0.07,Y,NA
201804,105,A_dub,180915,4,147,157,160,12.56,F,NA,0.16,11.15,0.21,0.09,Y,could not distinguish liver
201804,105,A_dub,180915,5,153,162,167,14.8,F,0.22,0.2,12.32,0.21,0.13,Y,NA
201804,114,P_tri,180915,1,86,98,113,20.56,U,0.32,NA,17.46,0.19,0.08,Y,NA
201804,114,P_tri,180915,2,86,102,111,22.44,M,0.49,0.03,19.25,0.29,0.15,Y,NA
201804,115,P_tri,180915,1,83,98,114,19.07,F,0.35,0.03,16.53,0.38,0.22,Y,NA
201804,115,P_tri,180915,2,80,93,105,17.01,U,0.32,NA,14.65,0.29,0.16,Y,NA
201804,145,P_tri,180918,1,140,161,186,93.98,M,1.4,1.67,82.92,0.87,0.48,Y,NA
201804,145,P_tri,180918,2,144,152,187,114.02,M,1.92,2.36,99.79,1.04,0.42,Y,parasites on gonads
201804,209,A_pse,191001,1,180,203,229,132.06,F,2.65,0.59,111.22,4.89,1.34,Y,NA
201804,184,P_tri,180928,1,140,154,177,86.35,M,1.04,0.64,79.35,0.4,0.25,Y,NA
201804,184,P_tri,180928,2,136,160,183,91.91,M,0.67,0.89,81.6,0.63,0.21,Y,NA
201804,218,S_sco,181002,1,245,268,285,195.32,U,2.17,NA,172.72,4.34,2.63,Y,could not find gonads
201804,218,S_sco,181002,2,245,262,279,220.5,U,3.28,NA,200.1,4.8,3.69,Y,could not find gonads
201804,218,S_sco,181002,3,230,254,270,184,U,2.55,NA,162.8,2.88,1.73,Y,could not find gonads
201804,150,P_tri,180919,1,120,140,157,68.35,U,0.54,NA,61.7,0.05,0.02,Y,could not find gonads
201804,150,P_tri,180919,2,130,150,170,84.75,F,1.11,0.93,75.25,0.22,0.15,Y,NA
201804,152,P_tri,180919,1,103,120,137,35.12,U,0.39,NA,30.59,0.18,0.06,Y,could not find gonads
201804,152,P_tri,180919,2,94,111,125,29.92,U,0.36,NA,25.74,0.22,0.09,Y,could not find gonads
201804,116,P_tri,180916,1,86,102,115,23.53,U,0.27,NA,19.48,0.23,0.14,Y,could not find gonads
201804,116,P_tri,180916,2,86,102,119,24.22,U,0.41,NA,19.68,0.72,0.15,Y,could not find gonads
201804,163,P_tri,180920,1,110,126,147,45.71,U,0.87,NA,40.64,0.36,0.22,Y,* could not find gonads
201804,163,P_tri,180920,2,93,108,125,28.46,U,0.57,NA,24.8,0.24,0.13,Y,* could not find gonads
201804,151,P_tri,180919,1,118,137,160,57.98,M,0.68,0.1,52.49,0.2,0.2,Y,NA
201804,151,P_tri,180919,2,126,147,170,81.11,F,1.6,0.33,70.34,0.22,0.11,Y,NA
201804,149,P_tri,180919,1,135,156,180,93.92,F,1.89,0.75,84.67,0.49,0.35,Y,NA
201804,149,P_tri,180919,2,130,151,172,80.82,F,1.39,0.94,73.3,0.11,0.11,Y,NA
201804,151,P_tri,180919,1,80,94,107,16.35,U,0.22,NA,13.48,0.29,0.17,Y,* could not find gonads
201804,151,P_tri,180919,2,80,93,105,16.11,F,0.25,0.02,13.18,0.38,0.08,Y,*
201804,164,P_tri,180920,1,122,140,157,61.33,U,1.21,NA,54.21,0.25,0.06,Y,could not find gonads
201804,164,P_tri,180920,2,113,132,152,55.33,M,0.92,0.17,48.35,0.31,0.11,Y,NA
