Cruise ,Station,Species,Date_collection,FID,Standard_length_mm,Fork_length_mm,Total_length_mm,Total_weight_g,Sex,Liver_weight_g,Gonad_weight_g,Evisc_weight_g,Stomach_weight_g,Stomach_content_weight_g,Musc_taken,Comments
201902,108,S_sco,190320,2,240,258,282,153.44,F,1.672,1.673,135.08,3.54,1.469,N,NA
201902,108,S_sco,190320,3,245,264,286,159.32,F,2.232,1.471,143.3,4.701,2.639,N,NA
201902,121,C_har,190327,1,233,253,281,160.56,F,3.8,3.199,151.15,4.467,3.093,N,NA
201902,121,C_har,190327,2,241,262,295,184.19,F,5.275,4.162,168.43,5.391,3.261,N,NA
201902,121,C_har,190327,3,235,256,287,172.08,F,4.595,3.466,168.34,4.742,3.017,N,NA
201902,121,S_sco,190327,1,224,241,261,133.54,M,1.715,0.52,121.12,3.15,0.959,N,NA
201902,121,S_sco,190327,2,214,228,250,103.75,F,1.283,0.194,88.13,2.46,1.348,N,NA
201902,121,S_sco,190327,3,202,218,241,102.29,F,1.368,0.713,89.8,2.52,0.86,N,NA
201902,95,A_pse,190319,1,214,228,250,197.56,F,4.55,27.86,159.68,3.558,0.989,N,NA
201902,95,A_pse,190319,2,227,245,279,197.89,F,4.015,4.457,181.81,4.773,2.036,N,NA
201902,111,A_pse,190320,1,218,247,265,175.83,F,3.255,8.92,149.51,3.821,1.614,N,NA
201902,111,A_pse,190320,2,207,235,261,171.03,F,2.747,4.182,150.14,4.14,2.08,N,NA
201902,111,A_pse,190320,3,206,229,256,177.84,M,2.06,11.156,153.94,4.236,2.297,N,NA
201902,199,S_sco,190412,1,164,177,187,51.21,M,0.733,0.062,42.35,2.295,1.228,N,NA
201902,106,P_tri,190320,1,130,115,138,31.17,F,0.346,0.261,27.75,0.43,0.253,N,NA
201902,106,P_tri,190320,2,103,116,138,33.88,U,0.371,NA,29.76,0.618,0.248,N,I for immature
201902,109,A_aes,190320,1,198,218,244,137.54,F,2.691,2.644,118.2,3.522,1.681,N,NA
201902,176,S_sco,190420,1,254,269,288,185.61,M,1.64,10.937,162.89,2.801,0.547,N,NA
201902,176,S_sco,190420,2,256,276,292,217.81,M,2.143,9.831,193.22,3.29,1.123,N,NA
201902,183,P_tri,190402,1,143,160,184,95.39,M,1.145,2.678,81.78,2.017,1.402,N,NA
201902,183,P_tri,190402,2,154,169,194,120.93,F,1.368,5.405,99.97,5.758,4.12,N,NA
201902,183,P_tri,190402,3,174,188,223,163.23,F,1.459,7.669,140.28,4.394,3.288,N,NA
201902,179,P_tri,190402,1,128,145,169,60.52,F,0.478,1.116,53.73,0.496,0.19,N,NA
201902,179,P_tri,190402,2,164,181,213,149.07,F,1.52,18.465,118.21,1.433,0.159,N,No solid stomach content
201902,179,P_tri,190402,3,149,166,197,101.62,M,0.781,2.637,91.42,1.107,0.318,N,NA
201902,176,P_tri,190402,1,161,178,203,129.43,F,1.344,4.086,113.89,1.153,0.219,N,NA
201902,176,P_tri,190402,2,134,152,176,78.53,M,0.431,3.938,69.32,0.607,0.085,N,NA
201902,176,P_tri,190402,3,127,144,171,61.6,M,0.34,0.825,57.58,0.67,0.127,N,NA
201902,197,A_pse,190411,1,217,240,267,194.28,F,3.528,4.225,168.44,6.729,4.48,N,NA
201902,197,A_pse,190411,2,223,242,274,226.26,F,3.022,25.319,173.03,9.946,7.457,N,NA
201902,204,A_pse,190412,1,229,238,283,240,F,5.77,10.36,202.58,6.019,3.298,N,NA
201902,204,A_pse,190412,2,228,255,281,270.25,F,4.741,24.578,225.87,5.265,2.453,N,NA
201902,177,P_tri,190402,1,116,127,145,41.4,M,0.346,0.319,37.17,0.571,0.203,N,NA
201902,177,P_tri,190402,2,114,123,144,42.03,F,0.434,0.641,37.99,0.441,0.004,N,No solid gut content
201902,177,P_tri,190402,3,128,145,167,59.39,F,0.449,2.469,53.92,0.629,0.198,N,NA
201902,177,S_sco,190402,1,268,289,311,240.49,F,2.62,2.46,216.01,5.13,1.12,N,NA
201902,177,S_sco,190402,2,265,284,311,221.8,M,1.59,0.9,200,4.11,1.08,N,NA
201902,201,S_sco,190412,1,163,177,186,48.42,F,0.71,0.15,40.95,1.4,0.21,N,NA
